request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_176,350.63,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 in full on 2026-01-05. This is safe and keeps at least USD 1300 available throughout the forecast.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1400 available. Balance is tightest on 2024-12-13."
request_179,6458243.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 41648000 in full. Paying sooner would take the balance below the IDR 41430800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 in full on 2026-07-06. This is safe and keeps at least INR 37300 available throughout the forecast.
request_181,315.68,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-07. None of the available options keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 in full on 2025-08-05. This is safe and keeps at least ZAR 31100 available throughout the forecast.
request_183,23107211.77,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This leaves at least IDR 11878300 available. Balance is tightest on 2026-04-14."
request_184,9316.10,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30. None of the available options keeps the INR 110800 minimum protected.
request_185,318.41,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 2026-01-15, then pay EUR 1257.30 in full. Paying sooner would take the balance below the EUR 1300 minimum."
request_186,3303.10,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22000 minimum protected.
request_187,38384.36,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 187500 in full. Paying sooner would take the balance below the INR 128300 minimum."
request_188,26.30,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 in full on 2026-07-04. This is safe and keeps at least EUR 400 available throughout the forecast.
request_190,444.74,affordable_later,wait,2025-01-15:2557.50,2025-01-15,none,"Wait until 2025-01-15, then pay EUR 2557.50 in full. Paying sooner would take the balance below the EUR 1600 minimum."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 in full on 2025-05-03. This is safe and keeps at least EUR 500 available throughout the forecast.
request_192,113.88,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-05-11. None of the available options keeps the USD 1000 minimum protected.
request_193,23.01,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1000 available. Balance is tightest on 2024-03-14."
request_194,34703.75,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Wait until 2025-10-23, then pay INR 132800 in full. Paying sooner would take the balance below the INR 113600 minimum."
request_195,965.64,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 700 available. Balance is tightest on 2026-01-14."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 in full on 2024-06-03. This is safe and keeps at least EUR 500 available throughout the forecast.
request_197,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26245900 minimum protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 in full on 2026-07-07. This is safe and keeps at least INR 124300 available throughout the forecast.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 2024-09-07. This leaves at least IDR 25359500 available. Balance is tightest on 2024-12-01."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 in full on 2025-02-06. This is safe and keeps at least IDR 20114600 available throughout the forecast.
request_201,23565670.79,affordable_with_plan,full_payment,2026-04-03:23997000,,none,Pay IDR 23997000 today. This keeps at least IDR 17304500 available. Balance is tightest on 2026-07-02.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 in full on 2024-12-05. This is safe and keeps at least INR 147800 available throughout the forecast.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1400 available. Balance is tightest on 2025-08-04."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 in full on 2026-01-04. This is safe and keeps at least EUR 1300 available throughout the forecast.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 in full on 2024-03-06. This is safe and keeps at least IDR 13994300 available throughout the forecast.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900 available. Balance is tightest on 2025-10-20."
request_207,4205.61,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 11830 in full. Paying sooner would take the balance below the ZAR 13600 minimum."
request_208,3104179.08,affordable_with_plan,full_payment,2024-06-07:4413000,2024-06-15,none,Pay IDR 4413000 today. This keeps at least IDR 10470700 available. Balance is tightest on 2024-06-13.
request_209,1808.74,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1111.21,affordable_with_plan,partial_payment,2026-04-06:1111.21|2026-04-15:248.81,2026-04-15,none,Pay USD 1111.21 today and the remaining USD 248.81 on 2026-04-15. This completes the full request and keeps the USD 2000 minimum protected. Balance is tightest on 2026-04-13.
request_211,288.07,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Wait until 2024-10-15, then pay EUR 1788.60 in full. Paying sooner would take the balance below the EUR 1500 minimum."
request_212,3812034.91,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29579800 minimum protected.
request_213,2464.42,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,,none,"Use 3 installments of USD 1165.63, starting 2026-01-21. This leaves at least USD 2100 available. Balance is tightest on 2026-04-07."
request_214,44509.69,affordable_with_plan,partial_payment,2024-12-04:44509.69|2024-12-15:25240.31,2024-12-15,none,Pay INR 44509.69 today and the remaining INR 25240.31 on 2024-12-15. This completes the full request and keeps the INR 174900 minimum protected. Balance is tightest on 2024-12-14.
request_215,25415.34,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,,none,"Use 3 installments of ZAR 10395.15, starting 2025-05-09. This leaves at least ZAR 15700 available. Balance is tightest on 2025-08-04."
request_216,472.13,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Wait until 2026-09-15, then pay USD 3332.40 in full. Paying sooner would take the balance below the USD 1800 minimum."
request_217,19686.45,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,"Use 3 installments of ZAR 12889.07, starting 2024-03-19. This leaves at least ZAR 26800 available. Balance is tightest on 2024-03-12."
request_218,24552135.34,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 2025-08-07. This leaves at least IDR 34477200 available. Balance is tightest on 2025-08-14."
request_219,697.72,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1100 available. Balance is tightest on 2026-04-14."
request_220,50.71,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-03. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 in full on 2025-11-03. This is safe and keeps at least INR 81500 available throughout the forecast.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 in full on 2026-01-05. This is safe and keeps at least ZAR 27300 available throughout the forecast.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 in full on 2024-09-07. This is safe and keeps at least EUR 800 available throughout the forecast.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 2025-02-04. This leaves at least IDR 22187600 available. Balance is tightest on 2025-02-12."
request_225,9380382.41,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-21. None of the available options keeps the IDR 17670700 minimum protected.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 in full on 2024-12-03. This is safe and keeps at least INR 209400 available throughout the forecast.
request_227,7699.12,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-20. None of the available options keeps the INR 62900 minimum protected.
request_228,1327679.29,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26191200 minimum protected.
request_229,500.25,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1000 available. Balance is tightest on 2024-03-14."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 in full on 2025-08-06. This is safe and keeps at least EUR 2000 available throughout the forecast.
request_231,31571.89,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,"Use 3 installments of ZAR 12378.08, starting 2026-01-06. This leaves at least ZAR 24300 available. Balance is tightest on 2026-01-14."
request_232,251.70,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 2400 minimum protected.
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10365700 minimum protected.
request_234,230.30,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 2026-09-15, then pay EUR 1213.30 in full. Paying sooner would take the balance below the EUR 700 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 in full on 2024-09-06. This is safe and keeps at least USD 700 available throughout the forecast.
request_236,6081340.68,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-23. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 in full on 2026-04-05. This is safe and keeps at least IDR 22431500 available throughout the forecast.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700 available. Balance is tightest on 2024-12-14."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 in full on 2025-05-04. This is safe and keeps at least USD 600 available throughout the forecast.
request_240,14534.05,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-20. None of the available options keeps the INR 52800 minimum protected.
request_241,20471253.74,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,,none,"Use 3 installments of IDR 7298026.67, starting 2024-03-17. This leaves at least IDR 19252000 available. Balance is tightest on 2024-05-31."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 in full on 2026-07-07. This is safe and keeps at least ZAR 19900 available throughout the forecast.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 in full on 2024-06-04. This is safe and keeps at least ZAR 45900 available throughout the forecast.
request_245,25758.70,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Wait until 2026-01-15, then pay INR 128500 in full. Paying sooner would take the balance below the INR 94600 minimum."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03. This leaves at least ZAR 39300 available. Balance is tightest on 2026-06-26."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 in full on 2024-09-05. This is safe and keeps at least EUR 1300 available throughout the forecast.
request_248,929.02,affordable_with_plan,partial_payment,2025-02-07:929.02|2025-04-15:1036.58,2025-04-15,none,Pay USD 929.02 today and the remaining USD 1036.58 on 2025-04-15. This completes the full request and keeps the USD 1300 minimum protected. Balance is tightest on 2025-02-12.
request_249,132.37,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Wait until 2026-03-15, then pay USD 643.20 in full. Paying sooner would take the balance below the USD 600 minimum."
request_250,16056.71,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-18. None of the available options keeps the ZAR 35300 minimum protected.
request_251,1248.24,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-06. None of the available options keeps the EUR 1300 minimum protected.
request_252,4541677.74,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 2026-09-15, then pay IDR 28082000 in full. Paying sooner would take the balance below the IDR 15152200 minimum."
request_253,1383.13,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2300 available. Balance is tightest on 2024-03-14."
request_254,627.67,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Wait until 2025-10-15, then pay USD 3535.20 in full. Paying sooner would take the balance below the USD 2500 minimum."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 in full on 2026-04-06. This is safe and keeps at least IDR 9813900 available throughout the forecast.
request_256,154879.83,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816, starting 2024-06-10. This leaves at least INR 168600 available. Balance is tightest on 2024-06-14."
request_257,356.04,affordable_later,wait,2025-12-15:1352.40,2025-12-15,none,"Wait until 2025-12-15, then pay USD 1352.40 in full. Paying sooner would take the balance below the USD 1600 minimum."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 in full on 2026-01-07. This is safe and keeps at least USD 500 available throughout the forecast.
request_259,251.54,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 935 in full. Paying sooner would take the balance below the EUR 600 minimum."
request_260,7773408.05,affordable_with_plan,partial_payment,2025-02-06:7773408.05|2025-04-15:44305591.95,2025-04-15,none,Pay IDR 7773408.05 today and the remaining IDR 44305591.95 on 2025-04-15. This completes the full request and keeps the IDR 20727700 minimum protected. Balance is tightest on 2025-02-14.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 in full on 2026-07-03. This is safe and keeps at least EUR 1500 available throughout the forecast.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 in full on 2024-12-05. This is safe and keeps at least IDR 31018500 available throughout the forecast.
request_263,5256.59,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-15. None of the available options keeps the ZAR 24100 minimum protected.
request_264,23012.52,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 2026-06-15, then pay INR 111300 in full. Paying sooner would take the balance below the INR 59500 minimum."
request_265,0,affordable_with_plan,full_payment,2024-03-06:45970,,none,Pay INR 45970 today. This keeps at least INR 189700 available. Balance is tightest on 2024-06-04.
request_266,770.18,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 900 available. Balance is tightest on 2025-08-14."
request_267,1644.69,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1500 available. Balance is tightest on 2026-01-14."
request_268,1061.93,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1400 available. Balance is tightest on 2024-06-11."
request_269,0,affordable_with_plan,full_payment,2025-11-04:15490,,none,Pay ZAR 15490 today. This keeps at least ZAR 23100 available. Balance is tightest on 2026-02-02.
request_270,96.77,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-30. None of the available options keeps the USD 1400 minimum protected.
request_271,13832.03,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 2024-11-15, then pay INR 91300 in full. Paying sooner would take the balance below the INR 58200 minimum."
request_272,5420361.49,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12. This leaves at least IDR 7508600 available. Balance is tightest on 2025-02-13."
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-15:6384128.91,2026-04-15,none,Pay IDR 9476871.09 today and the remaining IDR 6384128.91 on 2026-04-15. This completes the full request and keeps the IDR 18774600 minimum protected. Balance is tightest on 2026-04-12.
request_274,2083.08,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1800 available. Balance is tightest on 2024-12-14."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 in full on 2025-05-06. This is safe and keeps at least IDR 12760100 available throughout the forecast.
